Frame,Player_name,Court_X(m),Court_Y(m),Speed(m/s),Shot_Type,Ball_X,Ball_Y
1,Player A,12.42,3.52,0.00,Forehand or Aggressive,,
2,Player A,12.46,3.52,2.28,Neutral,,
3,Player A,12.51,3.51,2.75,Backhand or Defensive,1302,609
4,Player A,12.55,3.51,2.90,Backhand or Defensive,1335,603
5,Player A,12.63,3.51,4.09,Backhand or Defensive,1341,621
6,Player A,12.69,3.51,2.91,Neutral,1362,603
7,Player A,12.75,3.48,0.00,Neutral,855,270
8,Player A,12.79,3.48,2.40,Backhand or Defensive,1401,645
9,Player A,12.81,3.48,0.85,Forehand or Aggressive,1422,657
10,Player A,12.82,3.48,0.83,Backhand or Defensive,1443,669
11,Player A,12.87,3.47,2.46,Backhand or Defensive,1476,672
12,Player A,12.92,3.47,2.99,Forehand or Aggressive,1473,687
13,Player A,12.96,3.47,1.89,Backhand or Defensive,1467,672
14,Player A,13.00,3.47,2.45,Backhand or Defensive,1428,657
15,Player A,13.05,3.48,2.64,Forehand or Aggressive,1404,612
42,Player A,13.04,3.50,0.00,Backhand or Defensive,873,354
43,Player A,13.01,3.51,2.91,Backhand or Defensive,867,315
44,Player A,12.93,3.50,4.24,Backhand or Defensive,873,282
45,Player A,12.86,3.50,3.99,Backhand or Defensive,882,279
46,Player A,12.80,3.52,5.83,Backhand or Defensive,849,288
47,Player A,12.76,3.53,3.16,Backhand or Defensive,858,279
48,Player A,12.72,3.54,2.79,Backhand or Defensive,831,303
49,Player A,12.68,3.54,2.19,Backhand or Defensive,831,297
50,Player A,12.62,3.54,3.03,Forehand or Aggressive,813,279
51,Player A,12.53,3.53,4.45,Forehand or Aggressive,822,288
52,Player A,12.44,3.54,4.97,Neutral,831,270
53,Player A,12.37,3.54,3.62,Backhand or Defensive,819,264
54,Player A,12.31,3.54,3.34,Backhand or Defensive,819,294
55,Player A,12.27,3.55,3.06,Backhand or Defensive,834,288
56,Player A,12.20,3.56,3.96,Backhand or Defensive,834,300
57,Player A,12.15,3.56,3.15,Backhand or Defensive,822,318
